Tanggal,Harga,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2025-12-11,90900,2.38,23.51,89.54
2025-12-12,90900,5.08,23.23,86.76
2025-12-15,88500,1.27,23.27,87.6
2025-12-16,88500,7.03,23.61,88.72
2025-12-17,87350,5.64,23.53,88.28
2025-12-18,87350,7.3,23.48,88.76
2025-12-19,79850,4.43,22.8,89.61
2025-12-22,79850,0.71,23.34,88.45
2025-12-23,82350,3.17,24.45,87.02
2025-12-24,83500,4.99,24.28,87.06
2025-12-25,83500,4.22,24.39,85.28
2025-12-26,83500,9.53,23.16,94.79
2025-12-29,76250,3.88,23.01,94.08
2025-12-30,76250,7.64,22.91,94.19
2025-12-31,73750,6.3,22.47,93.79
2026-01-01,73750,5.24,22.67,89.81
2026-01-02,73750,7.35,23.42,87.3
2026-01-05,70100,0.4,23.04,84.06
2026-01-06,67600,1.57,23.63,87.1
2026-01-07,61450,0.34,23.56,87.48
2026-01-08,61450,1.72,23.01,85.72
2026-01-09,61450,2.28,22.94,87.8
2026-01-12,61450,28.98,22.49,94.88
2026-01-13,59050,2.69,21.73,87.05
2026-01-14,59050,6.81,21.96,86.35
2026-01-15,54100,2.83,21.88,86.0
2026-01-16,54100,5.34,22.57,87.26
2026-01-19,54100,4.91,22.65,88.19
2026-01-20,49200,9.66,22.59,88.75
2026-01-21,46700,6.9,21.71,88.84
2026-01-22,46700,14.27,22.18,88.75
2026-01-23,50350,21.99,22.06,92.15
2026-01-26,54100,2.32,22.84,92.17
2026-01-27,54100,8.22,22.1,93.57
2026-01-28,54100,5.12,22.47,91.77
2026-01-29,56550,12.36,22.54,92.46
2026-01-30,56550,5.18,22.8,90.27
2026-02-02,62700,4.49,23.08,87.04
2026-02-03,65200,12.22,23.31,88.84
2026-02-04,67600,6.6,23.54,87.79
2026-02-05,70100,0.75,23.18,89.68
2026-02-06,80000,3.26,22.67,92.34
2026-02-09,82400,5.88,22.5,91.78
2026-02-10,84850,2.82,22.59,89.86
2026-02-11,89650,3.14,23.17,91.54
2026-02-12,94500,29.9,23.13,89.67
2026-02-13,94500,3.89,22.64,91.43
2026-02-16,94500,7.08,22.48,92.31
2026-02-17,94500,2.38,23.49,87.49
2026-02-18,97000,1.23,21.97,93.3
2026-02-19,99400,10.41,22.43,91.22
2026-02-20,99400,11.97,22.34,91.8
2026-02-23,107000,1.54,22.5,91.88
2026-02-24,107000,0.3,23.0,83.46
2026-02-25,94550,0.61,23.34,84.39
2026-02-26,89650,4.66,23.08,84.77
2026-02-27,82250,8.47,22.49,87.98
2026-03-02,89750,21.97,23.42,85.76
2026-03-03,89750,9.2,22.83,87.4
2026-03-04,94650,14.16,22.59,88.69
2026-03-05,94650,5.34,22.72,87.41
2026-03-06,99550,1.3,23.07,87.46
2026-03-09,97050,0.11,22.79,84.83
2026-03-10,97050,3.62,23.69,84.76
2026-03-11,97050,1.3,23.74,85.6
2026-03-12,97050,0.13,23.91,82.38
2026-03-13,97050,0.05,23.94,82.46
2026-03-16,100750,0.55,23.6,81.26
2026-03-17,98250,0.11,24.0,78.04
2026-03-18,98250,4.14,23.58,85.13
2026-03-19,98250,2.11,23.15,85.36
2026-03-20,98250,3.15,23.71,86.41
2026-03-23,98250,2.61,23.35,85.2
2026-03-24,98250,2.18,22.85,87.9
2026-03-25,98250,0.46,23.67,84.26
2026-03-26,88400,13.01,23.64,90.34
2026-03-27,76100,8.25,22.64,94.29
2026-03-30,76100,11.29,23.35,88.31
2026-03-31,76100,8.37,22.87,90.65
2026-04-01,73650,9.04,23.73,86.17
2026-04-02,78650,60.79,23.89,90.49
2026-04-03,78650,21.11,23.68,91.13
2026-04-06,78650,14.21,23.68,82.08
2026-04-07,78650,3.59,23.61,87.28
2026-04-08,78650,8.2,23.81,88.11
2026-04-09,78650,3.49,23.79,87.34
2026-04-10,78650,9.36,23.33,91.77
2026-04-13,77500,2.16,23.67,88.05
2026-04-14,77500,18.25,23.05,94.63
2026-04-15,75000,14.01,23.39,91.5
2026-04-16,73850,16.32,23.32,89.95
2026-04-17,71350,10.55,23.75,90.98
2026-04-20,71350,8.11,23.19,91.14
2026-04-21,71350,4.93,23.5,90.09
2026-04-22,71350,5.85,23.92,88.98
2026-04-23,70100,2.33,23.38,91.93
2026-04-24,70100,2.65,23.48,90.66
2026-04-27,67700,2.71,23.59,89.31
2026-04-28,62700,2.3,23.8,88.67
2026-04-29,60200,5.31,23.82,91.63
2026-04-30,57800,3.85,23.84,89.59
2026-05-01,57800,22.44,24.4,91.17
2026-05-04,59050,11.53,24.42,91.9
2026-05-05,61450,11.59,24.01,92.1
2026-05-06,70000,3.28,24.55,90.04
2026-05-07,73650,1.21,24.06,88.59
2026-05-08,79900,2.35,23.96,88.86
2026-05-11,87250,10.85,24.45,89.22
2026-05-12,87250,3.02,24.65,89.1
2026-05-13,87250,2.44,24.59,88.37
2026-05-15,87250,10.58,24.14,90.71
2026-05-18,84750,,,
2026-05-19,84750,,,
2026-05-20,82350,13.42,24.41,91.23
2026-05-21,82350,11.88,24.77,90.94
2026-05-22,81100,26.41,23.65,93.37
2026-05-25,85900,6.18,23.85,88.91
2026-05-26,85900,1.17,23.74,87.75
2026-05-27,85900,0.11,23.61,79.58
2026-05-28,85900,0.19,23.1,84.16
2026-05-29,90750,1.16,23.44,85.97
2026-06-01,90750,0.5,23.1,87.84
2026-06-02,87150,,,
2026-06-03,87150,,,
2026-06-04,83600,,,
